,District,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
MBarangay 56,Tondo,"14.6105, 120.9704","3,457","1,056","2,147",121,31.77,64.59,3.64
MBarangay 560,Sampaloc,"14.6099, 121.0096","1,103",302,826,55,25.53,69.82,4.65
MBarangay 561,Sampaloc,"14.6100, 121.0065","2,332",819,"1,509",91,33.86,62.38,3.76
MBarangay 562,Sampaloc,"14.6096, 121.0062","2,583",648,"1,704",52,26.96,70.88,2.16
MBarangay 563,Sampaloc,"14.6093, 121.0059","1,526",397,990,68,27.29,68.04,4.67
MBarangay 564,Sampaloc,"14.6090, 121.0057","1,430",337,968,57,24.74,71.07,4.19
MBarangay 565,Sampaloc,"14.6080, 121.0062","2,464",568,"1,545",126,25.37,69,5.63
MBarangay 566,Sampaloc,"14.6080, 121.0080","2,160",565,"1,418",95,27.19,68.24,4.57
MBarangay 567,Sampaloc,"14.6076, 121.0058","2,318",563,"1,644",110,24.3,70.95,4.75
MBarangay 568,Sampaloc,"14.6091, 121.0089","1,847",585,"1,330",102,29,65.94,5.06
MBarangay 569,Sampaloc,"14.6050, 121.0079","2,086",641,"1,335",117,30.63,63.78,5.59
MBarangay 57,Tondo,"14.6107, 120.9688",882,354,719,42,31.75,64.48,3.77
MBarangay 570,Sampaloc,"14.6043, 121.0061","2,002",518,"1,383",132,25.48,68.03,6.49
MBarangay 571,Sampaloc,"14.6051, 121.0055","2,097",611,"1,311",84,30.46,65.35,4.19
MBarangay 572,Sampaloc,"14.6061, 121.0063","1,856",461,"1,140",66,27.65,68.39,3.96
MBarangay 573,Sampaloc,"14.6071, 121.0039",947,239,655,56,25.16,68.95,5.89
MBarangay 574,Sampaloc,"14.6062, 121.0048","1,479",367,911,65,27.33,67.83,4.84
MBarangay 575,Sampaloc,"14.6070, 121.0053","1,007",195,653,61,21.45,71.84,6.71
MBarangay 576,Sampaloc,"14.6053, 121.0042","3,603",786,"1,878",82,28.62,68.39,2.99
MBarangay 577,Sampaloc,"14.6079, 121.0043",985,174,514,32,24.17,71.39,4.44
MBarangay 578,Sampaloc,"14.6039, 121.0091","1,100",238,806,80,21.17,71.71,7.12
MBarangay 579,Sampaloc,"14.6028, 121.0092","1,703",488,"1,053",74,30.22,65.2,4.58
MBarangay 58,Tondo,"14.6124, 120.9704","3,719","1,086","2,459",190,29.08,65.84,5.09
MBarangay 580,Sampaloc,"14.6041, 121.0073","2,008",577,"1,218",81,30.76,64.93,4.32
MBarangay 581,Sampaloc,"14.6055, 121.0100","2,461",557,"1,474",105,26.08,69.01,4.92
MBarangay 582,Sampaloc,"14.6091, 121.0107","1,563",433,"1,077",72,27.37,68.08,4.55
MBarangay 583,Sampaloc,"14.6086, 121.0100","1,278",368,882,77,27.73,66.47,5.8
MBarangay 584,Sampaloc,"14.6075, 121.0113","3,411",973,"2,718",250,24.69,68.97,6.34
MBarangay 585,Sampaloc,"14.6043, 121.0133","1,090",164,647,96,18.08,71.33,10.58
MBarangay 586,Sampaloc,"14.6050, 121.0155","5,105",622,"1,567",151,26.58,66.97,6.45
MBarangay 587,Sampaloc,"14.6011, 121.0140","2,920",414,"1,198",87,24.37,70.51,5.12
MBarangay 587-A,Sampaloc,"14.6020, 121.0155","1,277",310,946,76,23.27,71.02,5.71
MBarangay 588,Sampaloc,"14.6007, 121.0160",989,256,"1,023",80,18.84,75.28,5.89
MBarangay 589,Sampaloc,"14.5989, 121.0166",660,139,647,46,16.71,77.76,5.53
MBarangay 59,Tondo,"14.6129, 120.9693","1,112",659,"1,313",28,32.95,65.65,1.4
MBarangay 590,Sampaloc,"14.5981, 121.0144","3,209",947,"2,281",140,28.12,67.73,4.16
MBarangay 591,Sampaloc,"14.5991, 121.0153","2,498",750,"1,561",108,31,64.53,4.46
MBarangay 592,Sampaloc,"14.6006, 121.0122","2,371",583,"1,456",93,27.35,68.29,4.36
MBarangay 593,Sampaloc,"14.6012, 121.0108","1,775",467,"1,336",124,24.23,69.33,6.43
MBarangay 594,Sampaloc,"14.6034, 121.0172",636,205,842,52,18.65,76.62,4.73
MBarangay 595,Sampaloc,"14.6026, 121.0184","4,198","1,038","2,900",170,25.27,70.59,4.14
MBarangay 596,Sampaloc,"14.6013, 121.0172","2,375",552,"1,358",96,27.52,67.7,4.79
MBarangay 597,Sampaloc,"14.6010, 121.0187","1,672",481,"1,446",90,23.85,71.69,4.46
MBarangay 598,Sampaloc,"14.6002, 121.0205","12,027","3,562","8,103",465,29.37,66.8,3.83
MBarangay 599,Sampaloc,"14.5997, 121.0180","4,272","1,102","2,800",186,26.96,68.49,4.55
MBarangay 6,Tondo,"14.6092, 120.9678",771,166,459,39,25,69.13,5.87
MBarangay 60,Tondo,"14.6135, 120.9705","4,503",709,"1,349",83,33.12,63.01,3.88
MBarangay 600,Sampaloc,"14.5982, 121.0196","5,892","1,443","3,377",201,28.74,67.26,4
MBarangay 601,Sampaloc,"14.5981, 121.0227","7,759","2,389","5,747",385,28.04,67.45,4.52
MBarangay 602,Sampaloc,"14.5962, 121.0230","2,000",621,"1,674",139,25.51,68.78,5.71
MBarangay 603,Sampaloc,"14.5965, 121.0175",712,152,513,40,21.56,72.77,5.67
MBarangay 604,Sampaloc,"14.5941, 121.0220","1,477",438,"1,258",89,24.54,70.48,4.99
MBarangay 605,Sampaloc,"14.5952, 121.0203","1,751",185,651,43,21.05,74.06,4.89
MBarangay 606,Sampaloc,"14.5946, 121.0228",532,85,369,28,17.63,76.56,5.81
MBarangay 607,Sampaloc,"14.5936, 121.0248","1,782",468,"1,100",31,29.27,68.79,1.94
MBarangay 608,Sampaloc,"14.5919, 121.0229",756,192,511,34,26.05,69.34,4.61
MBarangay 609,Sampaloc,"14.5916, 121.0207","1,046",228,675,69,23.46,69.44,7.1
MBarangay 61,Tondo,"14.6159, 120.9704","1,022","1,114","2,293",114,31.64,65.12,3.24
MBarangay 610,Sampaloc,"14.5932, 121.0182",968,248,870,72,20.84,73.11,6.05
MBarangay 611,Sampaloc,"14.5953, 121.0165",808,236,661,40,25.19,70.54,4.27
MBarangay 612,Sampaloc,"14.5938, 121.0215",703,157,455,36,24.23,70.22,5.56
MBarangay 613,Sampaloc,"14.5937, 121.0194",568,149,491,32,22.17,73.07,4.76
MBarangay 614,Sampaloc,"14.5944, 121.0178",404,114,418,36,20.07,73.59,6.34
MBarangay 615,Sampaloc,"14.5952, 121.0188","1,828",598,"1,394",84,28.81,67.15,4.05
MBarangay 616,Sampaloc,"14.5945, 121.0185",910,162,784,68,15.98,77.32,6.71
MBarangay 617,Sampaloc,"14.5924, 121.0222",921,165,522,53,22.3,70.54,7.16
MBarangay 618,Sampaloc,"14.5910, 121.0228",740,194,616,55,22.43,71.21,6.36
MBarangay 619,Sampaloc,"14.5921, 121.0176","1,283",334,"1,122",71,21.87,73.48,4.65
MBarangay 62,Tondo,"14.6114, 120.9672","1,967",570,"1,220",89,30.34,64.93,4.74
MBarangay 620,Sampaloc,"14.5900, 121.0206",725,175,529,49,23.24,70.25,6.51
MBarangay 621,Sampaloc,"14.5959, 121.0143","1,787",614,"1,181",79,32.76,63.02,4.22
MBarangay 622,Sampaloc,"14.5910, 121.0185","1,197",265,914,85,20.97,72.31,6.72
MBarangay 623,Sampaloc,"14.5894, 121.0193",954,268,749,64,24.79,69.29,5.92
MBarangay 624,Sampaloc,"14.5905, 121.0191","1,429",263,802,79,22.99,70.1,6.91
MBarangay 625,Sampaloc,"14.5893, 121.0176","1,027",299,784,54,26.3,68.95,4.75
MBarangay 626,Sampaloc,"14.6008, 121.0053","1,285",312,"1,027",65,22.22,73.15,4.63
MBarangay 627,Sampaloc,"14.6009, 121.0071","1,605",168,929,51,14.63,80.92,4.44
MBarangay 628,Sampaloc,"14.5985, 121.0057","15,202","3,233","8,359",330,27.12,70.11,2.77
MBarangay 629,Sampaloc,"14.6009, 121.0092","1,633",427,"1,158",97,25.39,68.85,5.77
MBarangay 63,Tondo,"14.6120, 120.9680","1,448",469,"1,079",113,28.24,64.96,6.8
MBarangay 630,Sampaloc,"14.5971, 121.0104","4,660",497,"1,605",36,23.25,75.07,1.68
MBarangay 631,Sampaloc,"14.6003, 121.0038","1,254",707,"1,765",57,27.96,69.79,2.25
MBarangay 632,Sampaloc,"14.6003, 121.0028",254,445,937,44,31.21,65.71,3.09
MBarangay 633,Sampaloc,"14.5998, 121.0024",447,530,"1,123",45,31.21,66.14,2.65
MBarangay 634,Sampaloc,"14.6004, 121.0006","1,319",348,"1,235",124,20.39,72.35,7.26
MBarangay 635,Sampaloc,"14.5980, 120.9998",660,174,494,48,24.3,68.99,6.7
MBarangay 636,Sampaloc,"14.5974, 121.0014","2,135",660,"1,787",115,25.76,69.75,4.49
MBarangay 637,San Miguel,"14.5995, 120.9971","1,295",304,"1,027",64,21.79,73.62,4.59
MBarangay 638,San Miguel,"14.5987, 120.9944",545,83,529,37,12.79,81.51,5.7
MBarangay 639,San Miguel,"14.5966, 120.9961",490,112,342,25,23.38,71.4,5.22
MBarangay 64,Tondo,"14.6104, 120.9673",495,172,362,21,30.99,65.23,3.78
MBarangay 640,San Miguel,"14.5982, 120.9974","2,145",426,"1,671",145,19,74.53,6.47
MBarangay 641,San Miguel,"14.5982, 120.9920",763,133,547,25,18.87,77.59,3.55
MBarangay 642,San Miguel,"14.5958, 120.9927","1,279",270,917,27,22.24,75.54,2.22
MBarangay 643,San Miguel,"14.5945, 120.9936",657,141,487,37,21.2,73.23,5.56
MBarangay 644,San Miguel,"14.5935, 120.9921",729,153,547,34,20.84,74.52,4.63
MBarangay 645,San Miguel,"14.5928, 120.9910","1,704",551,"1,359",78,27.72,68.36,3.92
MBarangay 646,San Miguel,"14.5928, 120.9886",918,199,621,47,22.95,71.63,5.42
MBarangay 647,San Miguel,"14.5935, 120.9847","2,440",460,688,5,39.9,59.67,0.43
MBarangay 648,San Miguel,"14.5936, 120.9869","5,634","2,039","3,274",60,37.95,60.93,1.12
MBarangay 649,Port Area,"14.5842, 120.9633","64,750","22,813","36,240",794,38.12,60.55,1.33
MBarangay 65,Tondo,"14.6133, 120.9684","1,631",565,"1,117",76,32.14,63.54,4.32
MBarangay 650,Port Area,"14.5893, 120.9687","5,202","1,367","2,452",38,35.44,63.57,0.99
MBarangay 651,Port Area,"14.5875, 120.9701","2,556","1,020","1,910",37,34.38,64.37,1.25
MBarangay 652,Port Area,"14.5854, 120.9712",39,20,30,1,39.22,58.82,1.96
MBarangay 653,Port Area,"14.5834, 120.9727",58,8,5,7,40,25,45
MBarangay 654,Intramuros,"14.5924, 120.9768","1,042",291,818,28,25.59,71.94,2.46
MBarangay 655,Intramuros,"14.5908, 120.9738","1,607",566,"1,065",40,33.87,63.73,2.39
MBarangay 656,Intramuros,"14.5932, 120.9714",364,112,246,11,30.35,66.67,2.98
MBarangay 657,Intramuros,"14.5865, 120.9773",982,172,489,16,25.41,72.23,2.36
MBarangay 658,Intramuros,"14.5897, 120.9774","2,108",494,"1,547",40,23.74,74.34,1.92
MBarangay 659,Ermita,"14.5884, 120.9829",361,78,309,26,18.89,74.82,6.3
MBarangay 659-A,Ermita,"14.5935, 120.9812","2,607",338,"1,043",20,24.13,74.45,1.43
MBarangay 66,Tondo,"14.6135, 120.9647","2,956","1,239","2,341",141,33.3,62.91,3.79
MBarangay 660,Ermita,"14.5872, 120.9844",332,90,381,19,18.37,77.76,3.88
MBarangay 660-A,Ermita,"14.5841, 120.9852","2,457",117,404,32,21.16,73.06,5.79
MBarangay 661,Ermita,"14.5881, 120.9880",441,79,238,14,23.87,71.9,4.23
MBarangay 662,Paco,"14.5882, 120.9929","1,601",876,"1,919",96,30.3,66.38,3.32
MBarangay 663,Ermita,"14.5896, 120.9867",604,72,331,33,16.51,75.92,7.57
MBarangay 663-A,Ermita,"14.5907, 120.9887",403,169,128,73,45.68,34.59,19.73
MBarangay 664,Ermita,"14.5853, 120.9878",456,45,156,1,22.28,77.23,0.49
MBarangay 664-A,Paco,"14.5876, 120.9916",640,195,328,17,36.11,60.74,3.15
MBarangay 666,Ermita,"14.5832, 120.9801",810,132,384,8,25.19,73.28,1.53
