,District,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
MBarangay 1,Tondo,"14.6044, 120.9669","2,995",515,"1,394",67,26.06,70.55,3.39
MBarangay 10,Tondo,"14.6062, 120.9704",160,130,238,10,34.39,62.96,2.65
MBarangay 100,Tondo,"14.6229, 120.9607","2,222",555,"1,342",82,28.04,67.81,4.14
MBarangay 101,Tondo,"14.6274, 120.9608","15,358","4,109","7,514",230,34.67,63.39,1.94
MBarangay 102,Tondo,"14.6230, 120.9623","4,157","1,128","2,162",128,33,63.25,3.74
MBarangay 103,Tondo,"14.6218, 120.9624","4,772","1,421","2,848",162,32.07,64.27,3.66
MBarangay 104,Tondo,"14.6206, 120.9627","5,741","1,661","3,482",191,31.14,65.28,3.58
MBarangay 105,Tondo,"14.6239, 120.9573","24,971","8,841","14,076",289,38.1,60.66,1.25
MBarangay 106,Tondo,"14.6247, 120.9615","2,513",916,"1,850",85,32.13,64.89,2.98
MBarangay 107,Tondo,"14.6189, 120.9592","7,003","2,043","4,129",205,32.04,64.75,3.21
MBarangay 108,Tondo,"14.6189, 120.9627","5,391","1,618","3,272",189,31.86,64.42,3.72
MBarangay 109,Tondo,"14.6184, 120.9641","3,254","1,146","2,342",158,31.43,64.23,4.33
MBarangay 11,Tondo,"14.6018, 120.9656","2,758",669,"1,445",74,30.58,66.04,3.38
MBarangay 110,Tondo,"14.6161, 120.9591","2,677",801,"1,649",74,31.74,65.33,2.93
MBarangay 111,Tondo,"14.6175, 120.9637","2,661",621,"1,276",81,31.4,64.51,4.1
MBarangay 112,Tondo,"14.6174, 120.9624","5,593","1,225","2,390",137,32.65,63.7,3.65
MBarangay 116,Tondo,"14.6157, 120.9624","5,943","2,168","4,559",219,31.21,65.63,3.15
MBarangay 117,Tondo,"14.6162, 120.9640","4,160","1,444","2,792",160,32.85,63.51,3.64
MBarangay 118,Tondo,"14.6129, 120.9606","10,840","3,374","6,362",341,33.48,63.13,3.38
MBarangay 119,Tondo,"14.6140, 120.9625","2,345","1,057","2,106",88,32.51,64.78,2.71
MBarangay 12,Tondo,"14.6008, 120.9652","2,137",877,"1,663",114,33.04,62.66,4.3
MBarangay 120,Tondo,"14.6131, 120.9623","3,873","1,118","2,279",128,31.72,64.65,3.63
MBarangay 121,Tondo,"14.6123, 120.9642","4,511","1,909","3,535",173,33.99,62.93,3.08
MBarangay 122,Tondo,"14.6150, 120.9640","3,824","1,321","2,785",151,31.03,65.42,3.55
MBarangay 123,Tondo,"14.6104, 120.9602","8,660","2,880","5,415",195,33.92,63.78,2.3
MBarangay 124,Tondo,"14.6324, 120.9651",159,858,"1,679",89,32.67,63.94,3.39
MBarangay 125,Tondo,"14.6343, 120.9662","4,510",666,"1,353",79,31.74,64.49,3.77
MBarangay 126,Tondo,"14.6333, 120.9637","1,162",292,719,43,27.7,68.22,4.08
MBarangay 127,Tondo,"14.6348, 120.9647",565,169,401,27,28.31,67.17,4.52
MBarangay 128,Tondo,"14.6325, 120.9524","23,702","6,836","11,075",307,37.52,60.79,1.69
MBarangay 129,Tondo,"14.6300, 120.9639","5,716","1,895","3,300",166,35.35,61.56,3.1
MBarangay 13,Tondo,"14.6030, 120.9660","2,371",712,"1,488",80,31.23,65.26,3.51
MBarangay 130,Tondo,"14.6289, 120.9636","1,758",593,"1,178",45,32.65,64.87,2.48
MBarangay 131,Tondo,"14.6314, 120.9655","1,621",423,964,56,29.31,66.81,3.88
MBarangay 132,Tondo,"14.6285, 120.9671",925,255,716,65,24.61,69.11,6.27
MBarangay 133,Tondo,"14.6275, 120.9645","2,115",755,"1,450",58,33.36,64.07,2.56
MBarangay 134,Tondo,"14.6292, 120.9657","1,058",261,716,64,25.07,68.78,6.15
MBarangay 135,Tondo,"14.6340, 120.9696","1,935",568,"1,397",92,27.61,67.91,4.47
MBarangay 136,Tondo,"14.6311, 120.9687","1,197",235,651,42,25.32,70.15,4.53
MBarangay 137,Tondo,"14.6293, 120.9680",911,230,546,51,27.81,66.02,6.17
MBarangay 138,Tondo,"14.6328, 120.9664","2,939",909,"1,945",136,30.4,65.05,4.55
MBarangay 139,Tondo,"14.6308, 120.9682",371,120,273,33,28.17,64.08,7.75
MBarangay 14,Tondo,"14.6025, 120.9668","2,070",804,"1,402",77,35.22,61.41,3.37
MBarangay 140,Tondo,"14.6310, 120.9671",543,164,455,52,24.44,67.81,7.75
MBarangay 141,Tondo,"14.6318, 120.9678",529,130,354,22,25.69,69.96,4.35
MBarangay 142,Tondo,"14.6334, 120.9670","1,710",557,"1,107",65,32.22,64.03,3.76
MBarangay 143,Tondo,"14.6315, 120.9706","1,401",401,565,26,40.42,56.96,2.62
MBarangay 144,Tondo,"14.6313, 120.9697",880,664,"1,067",44,37.41,60.11,2.48
MBarangay 145,Tondo,"14.6327, 120.9697","1,029",309,742,66,27.66,66.43,5.91
MBarangay 146,Tondo,"14.6335, 120.9680","2,895",794,"1,796",144,29.04,65.69,5.27
MBarangay 147,Tondo,"14.6237, 120.9678","2,275",576,"1,459",105,26.92,68.18,4.91
MBarangay 148,Tondo,"14.6246, 120.9684","2,333",582,"1,701",131,24.11,70.46,5.43
MBarangay 149,Tondo,"14.6209, 120.9710","1,554",457,"1,180",102,26.28,67.86,5.87
MBarangay 15,Tondo,"14.6029, 120.9649","1,119",354,697,34,32.63,64.24,3.13
MBarangay 150,Tondo,"14.6211, 120.9688","2,277",802,"1,512",82,33.47,63.11,3.42
MBarangay 151,Tondo,"14.6193, 120.9703","1,639",427,906,66,30.52,64.76,4.72
MBarangay 152,Tondo,"14.6223, 120.9742","6,218","1,080","2,250",172,30.84,64.25,4.91
MBarangay 153,Tondo,"14.6225, 120.9730","2,051",780,"1,800",123,28.86,66.59,4.55
MBarangay 154,Tondo,"14.6195, 120.9721",948,210,835,67,18.88,75.09,6.03
MBarangay 155,Tondo,"14.6212, 120.9741","3,257",902,"1,881",133,30.93,64.51,4.56
MBarangay 156,Tondo,"14.6181, 120.9726","1,615",401,"1,084",96,25.36,68.56,6.07
MBarangay 157,Tondo,"14.6193, 120.9735","1,505",581,"1,359",135,28,65.49,6.51
MBarangay 158,Tondo,"14.6208, 120.9725","1,934",670,"1,448",95,30.28,65.43,4.29
MBarangay 159,Tondo,"14.6195, 120.9744","1,558",523,"1,104",74,30.75,64.9,4.35
MBarangay 16,Tondo,"14.6022, 120.9652","1,477",547,"1,146",99,30.52,63.95,5.52
MBarangay 160,Tondo,"14.6204, 120.9739","1,256",720,"1,551",104,30.32,65.31,4.38
MBarangay 161,Tondo,"14.6281, 120.9748","1,004",324,777,56,28,67.16,4.84
MBarangay 162,Tondo,"14.6270, 120.9745",556,167,504,45,23.32,70.39,6.28
MBarangay 163,Tondo,"14.6242, 120.9740","3,840","1,737","3,462",191,32.23,64.23,3.54
MBarangay 164,Tondo,"14.6252, 120.9742","1,807",579,"1,400",104,27.8,67.21,4.99
MBarangay 165,Tondo,"14.6259, 120.9745","1,014",326,326,41,32.96,62.89,4.15
MBarangay 166,Tondo,"14.6259, 120.9722",882,271,765,103,23.79,67.16,9.04
MBarangay 167,Tondo,"14.6246, 120.9719",926,297,867,92,23.65,69.03,7.32
MBarangay 168,Tondo,"14.6263, 120.9702","1,387",314,904,124,23.4,67.36,9.24
MBarangay 169,Tondo,"14.6250, 120.9700",914,433,"1,170",104,25.37,68.54,6.09
MBarangay 17,Tondo,"14.6016, 120.9637","1,176",358,802,51,29.56,66.23,4.21
MBarangay 170,Tondo,"14.6270, 120.9692","1,378",196,616,70,22.22,69.84,7.94
MBarangay 171,Tondo,"14.6260, 120.9684","1,124",320,"1,003",60,23.14,72.52,4.34
MBarangay 172,Tondo,"14.6278, 120.9682","1,210",448,951,65,30.6,64.96,4.44
MBarangay 173,Tondo,"14.6284, 120.9728","1,616",539,"1,397",101,26.46,68.58,4.96
MBarangay 174,Tondo,"14.6272, 120.9725",715,157,420,58,24.72,66.14,9.13
MBarangay 175,Tondo,"14.6293, 120.9706",988,282,749,77,25.45,67.6,6.95
MBarangay 176,Tondo,"14.6283, 120.9698","1,278",399,914,83,28.58,65.47,5.95
MBarangay 177,Tondo,"14.6344, 120.9728","3,308",956,"2,174",109,29.52,67.12,3.37
MBarangay 178,Tondo,"14.6334, 120.9740","1,519",359,826,65,28.72,66.08,5.2
MBarangay 179,Tondo,"14.6298, 120.9734","1,021",882,"2,006",188,28.67,65.21,6.11
MBarangay 18,Tondo,"14.6006, 120.9638","1,982",591,"1,450",99,27.62,67.76,4.63
MBarangay 180,Tondo,"14.6301, 120.9717","2,145",970,"2,153",144,29.69,65.9,4.41
MBarangay 181,Tondo,"14.6310, 120.9734","2,773",756,"1,618",124,30.26,64.77,4.96
MBarangay 182,Tondo,"14.6323, 120.9715","3,936","1,911","3,842",249,31.84,64.01,4.15
MBarangay 183,Tondo,"14.6324, 120.9735","8,424",868,"1,845",161,30.2,64.2,5.6
MBarangay 184,Tondo,"14.6341, 120.9757","3,311","1,097","2,303",162,30.8,64.65,4.55
MBarangay 185,Tondo,"14.6294, 120.9750","3,532","1,024","2,303",170,29.28,65.86,4.86
MBarangay 186,Tondo,"14.6315, 120.9754","1,678",540,"1,237",107,28.66,65.66,5.68
MBarangay 187,Tondo,"14.6359, 120.9816",886,211,616,44,24.23,70.72,5.05
MBarangay 188,Tondo,"14.6357, 120.9804",865,364,850,78,28.17,65.79,6.04
MBarangay 189,Tondo,"14.6368, 120.9808","1,481",357,"1,084",105,23.09,70.12,6.79
MBarangay 19,Tondo,"14.6024, 120.9636","2,272",753,"1,514",94,31.89,64.13,3.98
MBarangay 190,Tondo,"14.6374, 120.9801","1,232",318,784,69,27.16,66.95,5.89
MBarangay 191,Tondo,"14.6373, 120.9815",703,192,490,30,26.97,68.82,4.21
MBarangay 192,Tondo,"14.6387, 120.9798","1,878",408,"1,119",111,24.91,68.32,6.78
MBarangay 193,Tondo,"14.6349, 120.9799",979,290,830,63,24.51,70.16,5.33
MBarangay 194,Tondo,"14.6351, 120.9787",775,244,605,39,27.48,68.13,4.39
MBarangay 195,Tondo,"14.6343, 120.9790","1,401",361,827,37,29.47,67.51,3.02
MBarangay 196,Tondo,"14.6348, 120.9810","1,631",268,702,59,26.04,68.22,5.73
MBarangay 197,Tondo,"14.6340, 120.9806",523,256,580,37,29.32,66.44,4.24
MBarangay 198,Tondo,"14.6310, 120.9768","5,032","1,604","3,558",235,29.72,65.93,4.35
MBarangay 199,Tondo,"14.6342, 120.9773","3,471","1,074","2,151",130,32.01,64.11,3.87
MBarangay 2,Tondo,"14.6051, 120.9675","1,887",460,"1,152",50,27.68,69.31,3.01
MBarangay 20,Tondo,"14.6063, 120.9505","45,772","14,155","23,802",645,36.67,61.66,1.67
MBarangay 200,Tondo,"14.6332, 120.9769","1,666",563,"1,199",90,30.4,64.74,4.86
MBarangay 201,Tondo,"14.6316, 120.9790","1,152",386,"1,243",82,22.56,72.65,4.79
MBarangay 202,Tondo,"14.6333, 120.9789","1,420",290,783,42,26.01,70.22,3.77
MBarangay 202-A,Tondo,"14.6329, 120.9803","1,213",172,376,30,29.76,65.05,5.19
MBarangay 203,Tondo,"14.6287, 120.9781","2,462",814,"1,852",150,28.91,65.77,5.33
MBarangay 204,Tondo,"14.6279, 120.9766","2,684",637,"1,489",93,28.71,67.1,4.19
MBarangay 205,Tondo,"14.6301, 120.9786","1,760",456,961,79,30.48,64.24,5.28
MBarangay 206,Tondo,"14.6300, 120.9804","2,433",583,"1,384",98,28.23,67.02,4.75
MBarangay 207,Tondo,"14.6281, 120.9810","1,541",323,733,45,29.34,66.58,4.09
MBarangay 208,Tondo,"14.6295, 120.9821",635,287,722,66,26.7,67.16,6.14
MBarangay 209,Tondo,"14.6249, 120.9816","5,075",924,"2,149",122,28.92,67.26,3.82
MBarangay 210,Tondo,"14.6260, 120.9826","3,212",985,"2,053",116,31.23,65.09,3.68
MBarangay 211,Tondo,"14.6266, 120.9813","2,007",827,"1,753",108,30.77,65.22,4.02
MBarangay 212,Tondo,"14.6265, 120.9794","2,675",840,"1,687",122,31.71,63.68,4.61
MBarangay 213,Tondo,"14.6248, 120.9766","3,231",880,"1,908",125,30.21,65.5,4.29
MBarangay 214,Tondo,"14.6258, 120.9761","1,577",436,852,85,31.76,62.05,6.19
MBarangay 215,Tondo,"14.6263, 120.9778","3,106",995,"1,822",79,34.36,62.91,2.73
MBarangay 216,Tondo,"14.6245, 120.9779","2,431",832,"1,830",125,29.85,65.66,4.49
MBarangay 217,Tondo,"14.6250, 120.9756","1,263",318,691,44,30.2,65.62,4.18
MBarangay 218,Tondo,"14.6225, 120.9754",321,223,421,38,32.7,61.73,5.57
MBarangay 219,Tondo,"14.6244, 120.9788","1,080",182,606,29,22.28,74.17,3.55
MBarangay 220,Tondo,"14.6240, 120.9809","1,270",465,"1,013",58,30.27,65.95,3.78
MBarangay 221,Tondo,"14.6208, 120.9761","3,353",904,"1,872",138,31.02,64.24,4.74
MBarangay 222,Tondo,"14.6188, 120.9762","2,040",596,"1,266",104,30.32,64.39,5.29
MBarangay 223,Tondo,"14.6203, 120.9784","1,629",494,928,67,33.18,62.32,4.5
MBarangay 224,Tondo,"14.6219, 120.9787","1,069",335,673,31,32.24,64.77,2.98
MBarangay 225,Tondo,"14.6180, 120.9784","2,419",785,"1,552",107,32.12,63.5,4.38
MBarangay 226,Tondo,"14.6181, 120.9779","1,562",428,997,88,28.29,65.9,5.82
MBarangay 227,Tondo,"14.6220, 120.9771","1,836",830,"1,977",132,28.24,67.27,4.49
MBarangay 228,Tondo,"14.6220, 120.9758","3,010",684,"1,282",49,33.95,63.62,2.43
MBarangay 229,Tondo,"14.6182, 120.9773","1,545",385,825,71,30.05,64.4,5.54
MBarangay 230,Tondo,"14.6182, 120.9768","2,364",390,878,77,29,65.28,5.72
MBarangay 231,Tondo,"14.6203, 120.9773","1,888",771,"1,546",115,31.7,63.57,4.73
MBarangay 232,Tondo,"14.6184, 120.9750","1,778",733,"1,511",95,31.34,64.6,4.06
MBarangay 233,Tondo,"14.6177, 120.9760",735,417,"1,115",116,25.3,67.66,7.04
MBarangay 234,Tondo,"14.6163, 120.9752","1,945",480,"1,103",67,29.09,66.85,4.06
MBarangay 235,Tondo,"14.6152, 120.9766","1,557",482,"1,156",83,28.01,67.17,4.82
MBarangay 236,Tondo,"14.6154, 120.9749",801,188,412,20,30.32,66.45,3.23
MBarangay 237,Tondo,"14.6146, 120.9747",452,183,396,26,30.25,65.45,4.3
MBarangay 238,Tondo,"14.6092, 120.9754",364,65,382,17,14.01,82.33,3.66
MBarangay 239,Tondo,"14.6134, 120.9758","1,785",447,"1,200",97,25.63,68.81,5.56
MBarangay 240,Tondo,"14.6072, 120.9750",56,12,85,6,11.65,82.52,5.83
MBarangay 241,Tondo,"14.6124, 120.9738",447,193,416,25,30.44,65.62,3.94
MBarangay 242,Tondo,"14.6087, 120.9747",448,102,552,58,14.33,77.53,8.15
MBarangay 243,Tondo,"14.6116, 120.9748",436,67,251,20,19.82,74.26,5.92
MBarangay 244,Tondo,"14.6111, 120.9752",640,186,756,87,18.08,73.47,8.45
MBarangay 245,Tondo,"14.6088, 120.9741",281,86,235,29,24.57,67.14,8.29
MBarangay 246,Tondo,"14.6115, 120.9758","1,254",365,836,59,28.97,66.35,4.68
MBarangay 247,Tondo,"14.6075, 120.9739",737,100,424,18,18.45,78.23,3.32
MBarangay 248,Tondo,"14.6099, 120.9744",503,158,315,12,32.58,64.95,2.47
MBarangay 249,Tondo,"14.6160, 120.9776","1,610",216,519,49,27.55,66.2,6.25
MBarangay 25,Tondo,"14.6040, 120.9655","2,545",746,"1,744",116,28.63,66.92,4.45
MBarangay 250,Tondo,"14.6100, 120.9768","1,182",364,861,59,28.35,67.06,4.6
MBarangay 251,Tondo,"14.6146, 120.9776","1,181",186,484,53,25.73,66.94,7.33
MBarangay 252,Tondo,"14.6144, 120.9770",910,56,180,17,22.13,71.15,6.72
MBarangay 253,Tondo,"14.6145, 120.9781","1,329",428,"1,011",52,28.71,67.81,3.49
MBarangay 254,Tondo,"14.6119, 120.9771","3,713",893,"1,860",100,31.3,65.19,3.51
MBarangay 255,Tondo,"14.6143, 120.9787","1,086",618,"1,286",96,30.9,64.3,4.8
MBarangay 256,Tondo,"14.6159, 120.9786","1,030",614,"1,376",96,29.43,65.96,4.6
MBarangay 257,Tondo,"14.6113, 120.9785","1,308",250,509,37,31.41,63.94,4.65
MBarangay 258,Tondo,"14.6123, 120.9785","1,181",309,560,39,34.03,61.67,4.3
MBarangay 259,Tondo,"14.6074, 120.9762","2,090","1,171","2,096",95,34.83,62.34,2.83
MBarangay 26,Tondo,"14.6054, 120.9651","2,555",874,"1,817",115,31.15,64.75,4.1
MBarangay 260,Tondo,"14.6065, 120.9782","1,645",382,901,58,28.49,67.19,4.33
MBarangay 261,Tondo,"14.6099, 120.9801",735,223,534,43,27.88,66.75,5.38
MBarangay 262,Tondo,"14.6091, 120.9786","1,736",766,"1,384",76,34.41,62.17,3.41
MBarangay 263,Tondo,"14.6080, 120.9790","1,306",444,"1,192",150,24.86,66.74,8.4
MBarangay 264,Tondo,"14.6102, 120.9790","2,443",568,"1,188",67,31.16,65.17,3.68
MBarangay 265,Tondo,"14.6113, 120.9798",125,204,374,15,34.4,63.07,2.53
MBarangay 266,Tondo,"14.6066, 120.9773","1,665",404,981,97,27.26,66.19,6.55
MBarangay 267,Tondo,"14.6124, 120.9796","1,952",594,"1,463",138,27.06,66.65,6.29
MBarangay 268,San Nicolas,"14.6041, 120.9714",489,241,583,61,27.23,65.88,6.89
MBarangay 269,San Nicolas,"14.6038, 120.9698",904,271,769,10,25.81,73.24,0.95
MBarangay 270,San Nicolas,"14.6015, 120.9684",918,312,794,73,26.46,67.35,6.19
MBarangay 271,San Nicolas,"14.6019, 120.9703",633,134,378,60,23.43,66.08,10.49
MBarangay 272,San Nicolas,"14.5998, 120.9676","1,064",392,803,60,31.24,63.98,4.78
MBarangay 273,San Nicolas,"14.5992, 120.9677",825,315,626,47,31.88,63.36,4.76
MBarangay 274,San Nicolas,"14.6007, 120.9667","1,944",547,"1,236",74,29.46,66.56,3.98
MBarangay 275,San Nicolas,"14.5985, 120.9648","19,809","6,738","11,869",424,35.41,62.37,2.23
MBarangay 276,San Nicolas,"14.6011, 120.9675","2,543",834,"1,607",83,33.04,63.67,3.29
MBarangay 28,Tondo,"14.6039, 120.9631","2,787",772,"1,691",115,29.95,65.59,4.46
MBarangay 281,San Nicolas,"14.6000, 120.9714","2,288",456,"1,594",131,20.91,73.09,6.01
MBarangay 282,San Nicolas,"14.5974, 120.9731","2,458",662,"1,805",81,25.98,70.84,3.18
MBarangay 283,San Nicolas,"14.5974, 120.9686","1,345",672,"1,271",39,33.91,64.13,1.97
MBarangay 284,San Nicolas,"14.5978, 120.9699",961,256,726,50,24.81,70.35,4.84
MBarangay 285,San Nicolas,"14.5980, 120.9710","2,066",518,"1,637",151,22.46,70.99,6.55
MBarangay 286,San Nicolas,"14.5972, 120.9672","4,710","1,379","2,210",90,37.48,60.07,2.45
MBarangay 287,Binondo,"14.5992, 120.9741","2,546",331,"1,538",180,16.15,75.06,8.78
MBarangay 288,Binondo,"14.6007, 120.9747","2,538",203,"1,234",112,13.11,79.66,7.23
MBarangay 289,Binondo,"14.5991, 120.9755","1,017",79,436,56,13.84,76.36,9.81
MBarangay 29,Tondo,"14.6033, 120.9615","4,406","1,471","3,026",155,31.62,65.05,3.33
MBarangay 290,Binondo,"14.5993, 120.9776","1,093",240,"1,115",58,16.99,78.91,4.1
MBarangay 291,Binondo,"14.5977, 120.9782","2,279",373,970,40,26.97,70.14,2.89
MBarangay 292,Binondo,"14.6039, 120.9751","2,846",642,"2,212",290,20.42,70.36,9.22
MBarangay 293,Binondo,"14.6040, 120.9731","3,565",616,"2,157",164,20.97,73.44,5.58
MBarangay 294,Binondo,"14.6046, 120.9765","1,881",700,"1,600",115,28.99,66.25,4.76
MBarangay 295,Binondo,"14.6029, 120.9770","1,531",261,848,45,22.62,73.48,3.9
MBarangay 296,Binondo,"14.6023, 120.9757","1,195",374,982,69,26.25,68.91,4.84
MBarangay 297,Santa Cruz,"14.6012, 120.9775","2,005",178,832,66,16.54,77.32,6.13
MBarangay 298,Santa Cruz,"14.6003, 120.9790","1,020",119,528,51,17.05,75.64,7.31
MBarangay 299,Santa Cruz,"14.6036, 120.9785","1,300",589,"1,058",37,34.98,62.83,2.2
MBarangay 3,Tondo,"14.6058, 120.9682","1,341",271,809,54,23.9,71.34,4.76
MBarangay 30,Tondo,"14.6039, 120.9611",166,135,289,12,30.96,66.28,2.76
MBarangay 300,Santa Cruz,"14.6020, 120.9779",981,166,433,16,26.99,70.41,2.6
MBarangay 301,Santa Cruz,"14.6021, 120.9798",448,43,196,32,15.87,72.32,11.81
MBarangay 302,Santa Cruz,"14.6019, 120.9790",654,106,538,38,15.54,78.89,5.57
MBarangay 303,Santa Cruz,"14.5992, 120.9804",641,78,311,4,19.85,79.13,1.02
MBarangay 304,Santa Cruz,"14.6031, 120.9814",298,53,188,9,21.2,75.2,3.6
MBarangay 305,Santa Cruz,"14.6024, 120.9804",645,105,407,21,19.7,76.36,3.94
MBarangay 306,Quiapo,"14.5971, 120.9822","1,248",308,978,24,23.51,74.66,1.83
MBarangay 307,Quiapo,"14.5992, 120.9828","1,378",163,930,49,14.27,81.44,4.29
MBarangay 308,Quiapo,"14.6021, 120.9842","1,033",224,681,20,24.22,73.62,2.16
MBarangay 309,Quiapo,"14.6021, 120.9827","1,151",314,923,46,24.47,71.94,3.59
MBarangay 31,Tondo,"14.6048, 120.9640","2,881",955,"1,793",87,33.69,63.25,3.07
MBarangay 310,Santa Cruz,"14.6047, 120.9837","13,602","3,694","16,576",213,18.03,80.93,1.04
MBarangay 311,Santa Cruz,"14.6069, 120.9847","2,401",547,"1,321",23,28.93,69.86,1.22
MBarangay 312,Santa Cruz,"14.6063, 120.9828","3,328",862,"1,979",46,29.86,68.55,1.59
MBarangay 313,Santa Cruz,"14.6046, 120.9804","2,848",366,"1,108",60,23.86,72.23,3.91
MBarangay 314,Santa Cruz,"14.6062, 120.9804","2,064",606,"1,509",74,27.68,68.94,3.38
MBarangay 315,Santa Cruz,"14.6084, 120.9846","1,786",436,"1,200",80,25.41,69.93,4.66
MBarangay 316,Santa Cruz,"14.6087, 120.9827",829,211,959,47,17.34,78.8,3.86
MBarangay 317,Santa Cruz,"14.6113, 120.9853","1,542",345,"1,242",32,21.31,76.71,1.98
MBarangay 318,Santa Cruz,"14.6102, 120.9847",740,248,775,34,23.46,73.32,3.22
MBarangay 319,Santa Cruz,"14.6102, 120.9856","1,209",242,748,46,23.36,72.2,4.44
MBarangay 32,Tondo,"14.6036, 120.9643","2,219",672,"1,448",101,30.26,65.2,4.55
MBarangay 320,Santa Cruz,"14.6114, 120.9834","1,300",229,850,47,20.34,75.49,4.17
MBarangay 321,Santa Cruz,"14.6103, 120.9828",240,98,378,23,19.64,75.75,4.61
MBarangay 322,Santa Cruz,"14.6102, 120.9838",799,249,492,26,32.46,64.15,3.39
MBarangay 323,Santa Cruz,"14.6125, 120.9854","1,060",410,831,29,32.28,65.43,2.28
MBarangay 324,Santa Cruz,"14.6125, 120.9839",605,222,618,28,25.58,71.2,3.23
MBarangay 325,Santa Cruz,"14.6126, 120.9830",522,186,655,22,21.55,75.9,2.55
MBarangay 326,Santa Cruz,"14.6104, 120.9809",825,241,656,30,26,70.77,3.24
MBarangay 327,Santa Cruz,"14.6121, 120.9809","1,239",405,849,56,30.92,64.81,4.27
MBarangay 328,Santa Cruz,"14.6093, 120.9808",679,248,481,23,32.98,63.96,3.06
MBarangay 329,Santa Cruz,"14.6072, 120.9808",439,211,484,33,28.98,66.48,4.53
MBarangay 33,Tondo,"14.6061, 120.9636","4,082","1,309","2,733",164,31.12,64.98,3.9
MBarangay 330,Santa Cruz,"14.6077, 120.9800","2,244",740,"1,600",53,30.92,66.86,2.21
MBarangay 331,Santa Cruz,"14.6149, 120.9811",924,297,777,60,26.19,68.52,5.29
MBarangay 332,Santa Cruz,"14.6092, 120.9818",582,120,339,23,24.9,70.33,4.77
MBarangay 333,Santa Cruz,"14.6104, 120.9819",877,237,667,63,24.51,68.98,6.51
MBarangay 334,Santa Cruz,"14.6116, 120.9820","1,461",525,"1,154",72,29.98,65.91,4.11
MBarangay 335,Santa Cruz,"14.6071, 120.9816","1,350",403,"1,313",37,22.99,74.9,2.11
MBarangay 336,Santa Cruz,"14.6161, 120.9837","2,134",461,"1,555",92,21.87,73.77,4.36
MBarangay 337,Santa Cruz,"14.6149, 120.9837","1,386",281,"1,285",96,16.91,77.32,5.78
MBarangay 338,Santa Cruz,"14.6146, 120.9856","1,378",304,906,71,23.73,70.73,5.54
MBarangay 339,Santa Cruz,"14.6136, 120.9836","1,265",364,"1,264",77,21.35,74.13,4.52
MBarangay 34,Tondo,"14.6059, 120.9628","1,854",555,984,73,34.43,61.04,4.53
MBarangay 340,Santa Cruz,"14.6137, 120.9855","2,009",604,"1,420",72,28.82,67.75,3.44
MBarangay 341,Santa Cruz,"14.6164, 120.9855","1,463",496,"1,220",103,27.27,67.07,5.66
MBarangay 342,Santa Cruz,"14.6138, 120.9875","1,634",468,"1,332",77,24.93,70.96,4.1
MBarangay 343,Santa Cruz,"14.6153, 120.9881","2,209",465,"1,357",58,24.73,72.18,3.09
MBarangay 344,Santa Cruz,"14.6173, 120.9841",536,136,453,44,21.48,71.56,6.95
MBarangay 345,Santa Cruz,"14.6199, 120.9838","1,149",350,921,53,26.44,69.56,4
MBarangay 346,Santa Cruz,"14.6188, 120.9838","1,511",382,"1,103",63,24.68,71.25,4.07
MBarangay 347,Santa Cruz,"14.6212, 120.9839","1,266",398,879,43,30.15,66.59,3.26
MBarangay 348,Santa Cruz,"14.6221, 120.9839","1,249",281,715,53,26.79,68.16,5.05
MBarangay 349,Santa Cruz,"14.6222, 120.9859",788,208,464,32,29.55,65.91,4.55
MBarangay 35,Tondo,"14.6063, 120.9648","2,265",748,"1,564",100,31.01,64.84,4.15
MBarangay 350,Santa Cruz,"14.6199, 120.9862","6,776",797,"3,321",114,18.83,78.47,2.69
MBarangay 351,Santa Cruz,"14.6201, 120.9883","3,401","1,100","2,520",185,28.91,66.23,4.86
MBarangay 352,Santa Cruz,"14.6171, 120.9883","1,342",371,"1,180",89,22.62,71.95,5.43
MBarangay 353,Santa Cruz,"14.6174, 120.9814","2,232",453,"1,644",149,20.17,73.2,6.63
MBarangay 354,Santa Cruz,"14.6187, 120.9814","1,810",435,"1,291",98,23.85,70.78,5.37
MBarangay 355,Santa Cruz,"14.6180, 120.9793",970,318,707,50,29.58,65.77,4.65
MBarangay 356,Santa Cruz,"14.6222, 120.9820",505,105,268,13,27.2,69.43,3.37
MBarangay 357,Santa Cruz,"14.6213, 120.9822",736,224,634,26,25.34,71.72,2.94
MBarangay 358,Santa Cruz,"14.6200, 120.9821","1,029",220,565,46,26.47,67.99,5.54
MBarangay 359,Santa Cruz,"14.6225, 120.9803",410,95,251,17,26.17,69.15,4.68
MBarangay 36,Tondo,"14.6075, 120.9641","2,231",627,"1,311",86,30.98,64.77,4.25
MBarangay 360,Santa Cruz,"14.6212, 120.9804",741,219,614,60,24.52,68.76,6.72
MBarangay 361,Santa Cruz,"14.6199, 120.9808",715,178,550,53,22.79,70.42,6.79
MBarangay 362,Santa Cruz,"14.6201, 120.9795",252,163,395,17,28.35,68.7,2.96
MBarangay 363,Santa Cruz,"14.6236, 120.9838",559,118,418,26,21,74.38,4.63
MBarangay 364,Santa Cruz,"14.6233, 120.9860","1,985",569,"1,381",89,27.91,67.73,4.36
