,number,lat,lon
Timog Ave,87,14.637472,121.026611
Fisher Mall,88,14.633811,121.020462
Araneta 1,89,14.628818,121.013798
Banawe,90,14.623951,121.008241
D. Tuazon,91,14.62025,121.004167
Blumentritt 1,92,14.615288,120.998817
Lacson,93,14.609924,120.992941
Morayta,94,14.60582,120.988479
Quiapo,95,14.59874,120.984155
Lawton,96,14.594368,120.979526
UN Ave,97,14.582405,120.984571
Pedro Gil,98,14.576369,120.988063
Quirino,99,14.570414,120.9915
P. Ocampo,100,14.562688,120.995103
Libertad,101,14.547772,120.99854
Kasiyahan,102,14.687688,121.092237
Filinvest 2,103,14.689194,121.097847
15th Ave,104,14.624928,121.057082
Anonas,105,14.62791,121.063999
J.P. Rizal,106,14.629268,121.0691
Katipunan,107,14.63186,121.074466
Riverbanks,108,14.632834,121.082465
Tanong,109,14.63427,121.086414
Marikina Bayan,110,14.635876,121.094388
Home Owners,111,14.641109,121.094111
Golden Valley,112,14.647899,121.097029
Bayan Bayanan,113,14.650649,121.102739
Tumana,114,14.652791,121.103167
Fairlane,115,14.662865,121.10611
SM Marikina,116,14.623645,121.084907
Ligaya,117,14.61855,121.092034
BGB / Betty Go-Belmo,118,14.618694,121.042794
J. Ruiz,119,14.610662,121.026098
Araneta 2,120,14.606348,121.019031
V. Mapa,121,14.604191,121.017157
Pureza,122,14.601735,121.004848
Legarda,123,14.601322,120.992054
Loyola,124,14.601666,120.988235
Recto 2,125,14.603594,120.983575
Bonny Serrano,126,14.607393,121.039577
Roosevelt,127,14.603661,121.044291
Greenhills,128,14.600758,121.048361
Columbia,129,14.594175,121.057307
EDSA Ortigas,130,14.593294,121.058324
Emerald,131,14.589355,121.062877
Medical City,132,14.589199,121.070376
C-5 Ortigas,133,14.589977,121.079804
Rosario,134,14.590495,121.083767
Lucky Gold,135,14.589925,121.093837
Shaw Center Mall,136,14.589495,121.036877
A. Mabini-Shaw,137,14.589079,121.04208
EDSA Shaw,138,14.581306,121.053614
Sheridan,139,14.577757,121.05763
RMC,140,14.564691,121.06562
Pasig Rotonda,141,14.566079,121.075986
Chino Roces,142,14.559893,121.011541
Osmena Highway,143,14.557527,121.006784
Makati Ave,144,14.561748,121.0272
Guadalupe Nuevo,145,14.559252,121.046638
Cembo,146,14.562416,121.051239
Cavalry Drive,147,14.557758,121.061621
Magallanes,148,14.540771,121.016695
Bicutan Exit,149,14.487931,121.045146
Soldier Hills,150,14.39828,121.045693
MMC,151,14.391191,121.044553
Katihan Rd,152,14.389282,121.045027
Susana Heights,153,14.386639,121.045008
Nichols,154,14.523688,121.02642
R. Papa,155,14.63618,120.982283
Abad Santos,156,14.630604,120.981453
Blumentritt 2,157,14.622848,120.982852
Tayuman,158,14.616813,120.982733
Bambang,159,14.611029,120.982425
NAIA T1,160,14.50722,121.004595
NAIA T2,161,14.509973,121.012439
NAIA T4,162,14.525573,121.000233
NAIA T3,163,14.520626,121.014313
Visayas Ave,164,14.671961,121.043415
Tandang Sora 3,165,14.673375,121.048901
Luzon Ave 1,166,14.671892,121.068413
Matandang Balara,167,14.663352,121.074227
